# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even       654  1.094779e+01  2.608354e+02  1.094779e+01
  2    1  even       128  1.355801e-01  6.540742e-01  9.005955e+00
  4    2  even        43  1.935524e-01  2.812809e-01  1.087397e+01
  0    0  even        93  1.193035e+01  2.623086e+02  1.193035e+01
  2    1  even         1  0.000000e+00  0.000000e+00  0.000000e+00
  4    2  even        17  1.539091e-01  5.286082e-02  8.531020e+00
  0    0  even      1883  1.084056e+01  2.707081e+02  1.084056e+01
  2    1  even        69  1.473300e-01  2.502022e-01  8.112765e+00
  4    2  even        19  2.628688e-01  4.064822e-01  8.317640e+00
  6    3  even       252  7.572961e-02  6.050987e-02  1.315085e+01
  7    3  odd         17  1.776887e-02  1.007005e-03  1.147875e+01
  0    0  even         8  1.480762e+01  1.766159e+02  1.480762e+01
  4    2  even        13  3.201998e-02  3.842137e-02  1.250841e+01
  7    3  odd          3  1.301476e-03  3.387680e-06  9.960868e-01
  0    0  even      1619  1.062227e+01  2.377499e+02  1.062227e+01
  2    1  even        34  2.307847e-01  3.565247e-01  1.289549e+01
  4    2  even        17  6.644215e-02  2.965426e-01  1.811365e+01
  8    4  even       110  2.864324e-02  1.591832e-02  1.272258e+01
  9    4  odd         10  -1.343835e-02  8.122107e-04  6.156613e+00
  4    2  even         2  4.458618e-01  7.156539e-02  2.698828e+01
  9    4  odd          4  -9.229477e-03  2.555498e-04  3.224674e-01
  0    0  even       200  1.110156e+01  2.020792e+02  1.110156e+01
  1    0  odd        200  1.222326e-02  8.801334e-04  9.938005e+00
  2    1  even       200  2.047900e-01  7.019556e-01  1.246313e+01
  3    1  odd        200  -6.367523e-04  1.492638e-03  1.170141e+01
  4    2  even       200  1.429877e-01  1.585116e-01  1.269111e+01
  5    2  odd        200  5.174096e-03  1.355145e-03  1.166433e+01
  0    0  even      7588  1.107611e+01  2.595126e+02  1.107611e+01
  2    1  even       125  2.363838e-01  7.335445e-01  1.035831e+01
  0    0  even      2011  1.071347e+01  2.356691e+02  1.071347e+01
  2    1  even        40  1.842987e-01  6.200558e-01  1.012998e+01
  0    0  even       300  1.218342e+01  3.127856e+02  1.218342e+01
  2    1  even        12  3.518066e-01  4.753402e-01  1.822038e+01
  6    3  even        63  9.627666e-02  6.774344e-02  1.315742e+01
  7    3  odd          4  -1.541088e-02  1.236073e-03  2.440116e+01
  0    0  even        56  5.661185e+00  8.783791e+01  5.661185e+00
  7    3  odd          2  1.436945e-03  2.064811e-06  2.771855e-01
  0    0  even       401  1.084108e+01  2.248991e+02  1.084108e+01
  2    1  even        14  2.420480e-01  7.263428e-01  1.262347e+01
  8    4  even        30  -7.930501e-03  7.478926e-03  9.610807e+00
  9    4  odd          3  -1.477103e-02  1.325288e-04  9.344559e+00
