# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  3    1  odd         48  2.066847e-03  2.959987e-03  5.549741e+00
  4    2  even       258  3.525987e-02  3.995507e-02  5.290358e+00
  5    2  odd         25  -4.163342e-03  5.358244e-04  3.167402e+00
  7    3  odd         18  8.426324e-03  8.534985e-04  3.190389e+00
  9    4  odd         10  1.370252e-02  2.620802e-04  6.961389e+00
 11    5  odd          7  -1.882238e-03  1.164894e-03  7.116804e+00
 12    6  even         5  0.000000e+00  1.413637e-03  4.768750e+00
 13    6  odd          4  4.535816e-04  1.393335e-05  3.195343e+00
 14    7  even        80  1.486206e-03  1.323076e-03  5.943904e+00
 15    7  odd         51  -2.022869e-03  8.531120e-04  4.075119e+00
  0    0  even      7490  5.590986e+00  5.888100e+01  5.590986e+00
  1    0  odd         15  3.194197e-03  3.582163e-04  3.194197e-03
  2    1  even       375  4.994434e-02  2.354503e-01  5.088537e+00
  3    1  odd         28  -6.218651e-04  4.631865e-03  6.144400e+00
  4    2  even       141  4.005118e-02  3.216467e-02  5.341077e+00
  5    2  odd          5  -3.814453e-03  2.792147e-03  8.631885e+00
  7    3  odd          6  -2.924114e-03  2.654938e-03  9.452271e+00
  9    4  odd          3  -5.082532e-03  5.166427e-05  2.041056e+00
 11    5  odd          5  -3.735341e-03  3.408886e-04  5.302783e+00
 12    6  even         5  -1.188965e-02  5.654550e-04  8.240820e+00
 14    7  even        50  1.188965e-03  7.760869e-04  6.254219e+00
 15    7  odd         23  -4.013767e-03  7.395010e-04  7.642976e+00
  0    0  even       200  5.741311e+00  6.446966e+01  5.741311e+00
  1    0  odd        200  1.289456e-03  2.503508e-04  1.289456e-03
  2    1  even       200  -1.483154e-03  2.278732e-01  5.090775e+00
  3    1  odd        200  -3.970829e-03  2.572102e-03  6.344614e+00
  4    2  even       200  2.943054e-02  3.043303e-02  5.685647e+00
  5    2  odd        200  -9.500214e-04  1.534309e-03  5.670768e+00
  0    0  even     40247  5.621632e+00  5.860572e+01  5.621632e+00
  2    1  even      1501  4.464154e-02  2.952014e-01  5.982578e+00
  4    2  even       438  3.216636e-02  3.693101e-02  5.079846e+00
  2    1  even       164  -1.016533e-02  2.006081e-01  5.370742e+00
  4    2  even        61  6.822730e-02  3.428847e-02  4.864912e+00
  0    0  even        41  5.568913e+00  7.128432e+01  5.568913e+00
  2    1  even       114  4.902408e-02  3.003586e-01  5.970230e+00
  4    2  even        43  2.073492e-02  5.602156e-02  6.067587e+00
  6    3  even       394  3.183742e-02  7.301918e-03  6.778674e+00
  7    3  odd         39  -4.207270e-03  1.272804e-03  6.801489e+00
  7    3  odd          8  1.506707e-02  2.149669e-03  5.640152e+00
  7    3  odd          4  -1.795369e-02  1.073461e-03  5.008514e+00
  0    0  even      1945  5.491610e+00  5.461707e+01  5.491610e+00
  2    1  even        99  1.561020e-02  1.421316e-01  6.325028e+00
  4    2  even        37  1.767710e-02  8.763506e-03  5.170931e+00
  7    3  odd          3  -3.262043e-02  2.528108e-03  4.280273e+00
  8    4  even       155  1.380733e-02  2.089418e-03  5.746708e+00
  9    4  odd         29  2.383023e-03  5.020998e-04  3.370100e+00
  0    0  even       200  5.479744e+00  4.854352e+01  5.479744e+00
  1    0  odd        200  -8.565439e-04  2.695401e-04  -8.565439e-04
  2    1  even       200  9.245117e-02  3.881821e-01  6.821646e+00
  3    1  odd        200  -6.836154e-04  2.953404e-03  6.582109e+00
  4    2  even       200  2.972656e-02  3.435807e-02  5.777574e+00
  5    2  odd        200  -3.533229e-03  1.711763e-03  5.648177e+00
  0    0  even      7936  5.690991e+00  6.121040e+01  5.690991e+00
  2    1  even       315  6.115141e-02  3.764594e-01  5.832110e+00
  0    0  even      1833  5.819432e+00  5.952206e+01  5.819432e+00
  2    1  even        43  1.243414e-02  8.030867e-02  3.598556e+00
  4    2  even        10  1.189209e-01  1.909282e-02  5.289966e+00
  0    0  even       742  5.638112e+00  5.997824e+01  5.638112e+00
  2    1  even        25  -4.746094e-03  6.754818e-02  4.556328e+00
  4    2  even         9  6.605360e-03  1.055865e-02  1.551771e+00
  6    3  even       116  4.151338e-02  1.134794e-02  4.952108e+00
  7    3  odd         11  6.285464e-03  1.475016e-03  6.560924e+00
  7    3  odd          2  -1.170680e-02  1.770764e-04  1.456482e+01
  0    0  even       450  6.076538e+00  7.082024e+01  6.076538e+00
  2    1  even        14  1.061925e-01  9.205213e-02  3.668527e+00
  4    2  even         5  4.755859e-02  3.392730e-03  2.556836e+00
  7    3  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  8    4  even        45  1.056858e-02  2.244368e-03  4.616493e+00
  9    4  odd          7  1.397290e-02  7.965521e-04  6.301514e+00
  9    4  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
