# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  1    0  odd        342  2.381623e-03  1.053459e-03  2.381623e-03
  2    1  even     12566  -1.001182e-01  1.391674e+00  1.776068e+01
  3    1  odd        337  3.600963e-03  2.232714e-03  1.750927e+01
  4    2  even      5171  -1.287213e-01  4.991291e-01  1.778357e+01
  5    2  odd        255  1.436888e-03  2.232572e-03  1.616747e+01
  6    3  even      2087  -9.245063e-02  1.580571e-01  1.728989e+01
  7    3  odd        184  -5.126698e-03  2.632963e-03  1.820215e+01
  8    4  even       781  -5.283269e-02  4.440634e-02  1.636794e+01
  9    4  odd        138  -3.987372e-03  2.309695e-03  1.774056e+01
 11    5  odd       4169  -6.210051e-03  2.106340e-02  1.739362e+01
  0    0  even      3991  1.780197e+01  1.859994e+02  1.780197e+01
  1    0  odd         16  1.203525e-02  1.011069e-03  1.203525e-02
  2    1  even       146  -7.246963e-02  1.455181e+00  1.904334e+01
  3    1  odd         16  4.894842e-03  1.831971e-03  2.191782e+01
  4    2  even       139  -1.319545e-01  4.885392e-01  1.779244e+01
  5    2  odd          2  1.870384e-02  5.264280e-05  1.272192e+01
  6    3  even        73  -8.632378e-02  1.714111e-01  1.739816e+01
  7    3  odd         10  -2.984414e-03  3.415943e-03  1.302511e+01
  8    4  even        25  -4.280273e-02  3.549840e-02  1.429312e+01
 11    5  odd         95  -6.820644e-03  1.884979e-02  1.697011e+01
  0    0  even    275063  1.765789e+01  1.844454e+02  1.765789e+01
  1    0  odd        454  3.591912e-03  9.999902e-04  3.591912e-03
  2    1  even     17027  -1.179915e-01  1.376270e+00  1.726428e+01
  3    1  odd        466  4.314823e-03  2.091817e-03  1.730645e+01
  4    2  even      7107  -1.252494e-01  4.615429e-01  1.749030e+01
  5    2  odd        341  9.159567e-04  2.390872e-03  1.718037e+01
  6    3  even      2810  -8.574047e-02  1.475083e-01  1.777543e+01
  7    3  odd        254  -5.099655e-03  2.009323e-03  1.631702e+01
  8    4  even      1052  -4.769538e-02  4.074246e-02  1.689344e+01
  9    4  odd        177  3.998862e-03  2.019483e-03  1.915728e+01
 11    5  odd        362  -1.627210e-03  1.316723e-02  1.624452e+01
 12    6  even      1286  -1.251314e-02  2.676910e-03  1.784263e+01
 13    6  odd       1863  8.220894e-04  5.032032e-03  1.716201e+01
 12    6  even        97  -2.456474e-02  3.232440e-03  1.846883e+01
 13    6  odd         33  -1.809829e-02  6.260452e-03  1.980818e+01
  0    0  even    171637  1.769217e+01  1.858866e+02  1.769217e+01
  1    0  odd        282  4.189801e-03  9.518561e-04  4.189801e-03
  2    1  even     10392  -1.324125e-01  1.444196e+00  1.741742e+01
  3    1  odd        288  7.448754e-03  2.094036e-03  1.743784e+01
  4    2  even      4202  -1.447826e-01  5.001916e-01  1.726232e+01
  5    2  odd        222  1.619639e-03  2.711021e-03  1.784773e+01
  6    3  even      1694  -9.258060e-02  1.564466e-01  1.718198e+01
  7    3  odd        134  -1.864546e-03  2.467733e-03  1.868316e+01
  8    4  even       626  -6.082690e-02  4.915235e-02  1.792785e+01
  9    4  odd         94  -1.476871e-02  2.212794e-03  1.798942e+01
 11    5  odd        158  -2.863811e-03  1.763548e-02  1.591532e+01
 12    6  even        81  -8.434018e-03  1.960875e-03  1.415661e+01
 13    6  odd         98  -4.164360e-03  5.682109e-03  1.774534e+01
 14    7  even       491  -8.483235e-03  6.125940e-04  1.663563e+01
 15    7  odd        669  3.370796e-04  1.427832e-03  1.765537e+01
 15    7  odd         77  -2.832988e-03  1.841565e-03  1.563490e+01
  5    2  odd          2  -2.122943e-02  9.567093e-05  2.110413e+00
 15    7  odd         12  -8.468973e-03  6.323856e-04  1.912105e+01
  0    0  even    127587  1.760518e+01  1.817006e+02  1.760518e+01
  1    0  odd        202  2.844552e-03  1.007955e-03  2.844552e-03
  2    1  even      7975  -1.357736e-01  1.415623e+00  1.742500e+01
  3    1  odd        215  9.302223e-03  2.025947e-03  1.802899e+01
  4    2  even      3315  -1.254868e-01  4.569193e-01  1.763238e+01
  5    2  odd        177  -4.850997e-03  2.688082e-03  1.613869e+01
  6    3  even      1311  -8.971889e-02  1.529463e-01  1.721737e+01
  7    3  odd        116  -9.530616e-03  2.717630e-03  1.733506e+01
  8    4  even       530  -7.313601e-02  5.638437e-02  1.791925e+01
  9    4  odd         82  -1.012550e-02  2.332714e-03  1.625329e+01
 11    5  odd        156  -6.733848e-03  1.971493e-02  1.673865e+01
 12    6  even        31  -1.104175e-02  1.144337e-03  1.717718e+01
 13    6  odd         65  -7.536432e-03  5.296247e-03  1.895585e+01
 14    7  even        14  -4.158436e-03  1.145190e-04  1.527149e+01
 15    7  odd         22  6.090858e-03  1.146799e-03  1.670622e+01
 16    8  even       171  -4.627848e-03  2.447585e-04  1.880499e+01
 17    8  odd        263  3.690878e-04  3.513651e-04  1.641260e+01
  5    2  odd         12  1.347285e-03  1.622746e-03  2.037093e+01
  7    3  odd          4  -1.111884e-03  4.874207e-03  1.828033e+01
  8    4  even        67  -4.880444e-02  6.496775e-02  1.700619e+01
 16    8  even        55  -1.347352e-03  9.766815e-05  1.645902e+01
 17    8  odd          8  6.335627e-03  5.361662e-04  1.438156e+01
  0    0  even       200  1.895700e+01  2.393343e+02  1.895700e+01
  1    0  odd        200  -6.016984e-04  9.540547e-04  -6.016984e-04
  2    1  even       200  -1.880090e-01  1.825778e+00  1.761770e+01
  3    1  odd        200  -2.360754e-03  1.850236e-03  1.628778e+01
  4    2  even       200  -5.097382e-02  4.430450e-01  1.990590e+01
  5    2  odd        200  -4.384180e-04  2.662671e-03  1.632033e+01
  0    0  even    978988  1.764553e+01  1.841055e+02  1.764553e+01
  1    0  odd       1183  3.826084e-03  1.005353e-03  3.826084e-03
  2    1  even     60275  -1.112903e-01  1.398507e+00  1.756613e+01
  3    1  odd       1162  1.404578e-04  2.049037e-03  1.823552e+01
  4    2  even     20865  -1.394434e-01  4.842241e-01  1.722779e+01
  5    2  odd        955  -9.128581e-04  2.513224e-03  1.771807e+01
  6    3  even      7588  -9.451511e-02  1.484505e-01  1.720571e+01
  7    3  odd        389  4.698548e-04  2.446875e-03  1.709725e+01
  3    1  odd          2  -2.619902e-02  1.407233e-03  8.649719e+00
  4    2  even        34  -6.643856e-02  1.938986e-01  1.542817e+01
  6    3  even       676  -6.978413e-02  1.181027e-01  1.714416e+01
  7    3  odd        362  4.137082e-03  2.452053e-03  1.698643e+01
  1    0  odd         43  -1.552770e-03  8.231682e-04  -1.552770e-03
  3    1  odd         69  -4.942756e-03  2.785186e-03  1.975448e+01
  4    2  even      1056  -1.352172e-01  5.675473e-01  1.818594e+01
  6    3  even       346  -8.290850e-02  1.271949e-01  1.706162e+01
  7    3  odd         38  -5.126685e-03  2.713103e-03  1.772887e+01
  8    4  even      3126  -4.728022e-02  4.072318e-02  1.718550e+01
  9    4  odd        287  1.251530e-03  2.555199e-03  1.743781e+01
  1    0  odd          9  1.796381e-02  1.597571e-03  1.796381e-02
  3    1  odd         26  1.935044e-02  1.469120e-03  1.774873e+01
  4    2  even       288  -1.754502e-01  5.458109e-01  1.714713e+01
  6    3  even        53  -1.721790e-01  2.106180e-01  1.637216e+01
  7    3  odd         10  -6.644440e-03  2.497509e-03  2.204341e+01
  8    4  even       118  -4.409118e-02  4.632527e-02  1.812573e+01
  9    4  odd        288  2.845087e-04  2.205459e-03  1.781259e+01
  1    0  odd         62  -3.088237e-04  8.123363e-04  -3.088237e-04
  3    1  odd         58  1.055453e-03  1.927160e-03  1.961536e+01
  4    2  even       929  -1.500652e-01  5.608199e-01  1.746679e+01
  5    2  odd         37  1.021774e-02  2.794482e-03  1.545253e+01
  6    3  even       366  -8.787095e-02  1.424251e-01  1.766041e+01
  7    3  odd         33  1.587785e-02  2.310543e-03  1.832087e+01
  8    4  even       140  -6.751796e-02  3.939300e-02  1.786588e+01
  9    4  odd          2  4.834200e-02  2.443346e-04  1.691302e+01
 10    5  even      1229  -2.730215e-02  1.100275e-02  1.725189e+01
 11    5  odd        210  -4.511244e-03  1.998784e-02  1.696758e+01
  1    0  odd         83  7.348867e-03  1.127736e-03  7.348867e-03
  3    1  odd         87  -4.035324e-03  2.658751e-03  1.996299e+01
  4    2  even      1454  -1.215215e-01  5.056406e-01  1.784423e+01
  5    2  odd         74  7.282882e-03  2.030873e-03  1.431859e+01
  6    3  even       529  -1.130583e-01  1.712042e-01  1.632129e+01
  7    3  odd         49  5.764920e-03  2.289676e-03  1.881234e+01
  8    4  even       198  -6.245684e-02  4.523179e-02  1.723973e+01
  9    4  odd         35  -4.836593e-03  1.351533e-03  1.623277e+01
 11    5  odd       1043  3.075699e-03  1.961999e-02  1.697893e+01
  0    0  even     51082  1.768956e+01  1.872782e+02  1.768956e+01
  1    0  odd        120  -7.047883e-03  1.147682e-03  -7.047883e-03
  2    1  even      3050  -1.427144e-01  1.509434e+00  1.706064e+01
  3    1  odd        130  5.387835e-03  2.351363e-03  1.696356e+01
  4    2  even      1803  -1.777052e-01  5.294617e-01  1.709707e+01
  5    2  odd         83  9.522682e-03  2.205658e-03  1.831543e+01
  6    3  even       735  -9.819079e-02  1.357551e-01  1.673372e+01
  7    3  odd         61  -9.278060e-03  2.978492e-03  1.817216e+01
  8    4  even       268  -4.903036e-02  4.953126e-02  1.720335e+01
  9    4  odd         36  -5.107601e-03  1.545814e-03  2.047331e+01
 11    5  odd         79  -1.585827e-02  1.847864e-02  1.887409e+01
 12    6  even       338  -1.955103e-02  2.692664e-03  1.570306e+01
 13    6  odd        452  -3.292802e-03  4.639795e-03  1.762201e+01
  1    0  odd          2  9.988785e-03  4.193143e-05  9.988785e-03
  7    3  odd          2  2.500263e-02  3.154548e-03  3.742267e+01
  8    4  even         1  -5.944824e-02  0.000000e+00  3.863281e+00
 12    6  even         8  -9.538820e-04  4.340694e-04  1.108571e+01
 13    6  odd          3  1.124882e-03  1.885302e-04  2.250379e+01
  0    0  even     41106  1.771585e+01  1.839104e+02  1.771585e+01
  1    0  odd         79  1.896036e-03  6.204587e-04  1.896036e-03
  2    1  even      2632  -1.130411e-01  1.525296e+00  1.778931e+01
  3    1  odd         78  -1.459993e-03  2.475704e-03  1.558306e+01
  4    2  even      1125  -1.207998e-01  5.301208e-01  1.808042e+01
  5    2  odd         49  -5.551676e-03  2.319667e-03  2.184662e+01
  6    3  even       377  -7.489710e-02  1.420645e-01  1.685057e+01
  7    3  odd         44  -6.057739e-03  2.011780e-03  1.960036e+01
  8    4  even       179  -5.862239e-02  3.186327e-02  1.654527e+01
